gene_set,cell_type,gene_symbol,pathway_level,pmids,reference_gene_set
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IFNAR2,1,8181059,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,JAK1,2,8232552,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,TYK2,2,1386289,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,STAT1,2,1496401,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,STAT2,2,1502204,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IRF9,2,1630447,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IRF7,2,9315633,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,ISG15,3,3087979,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,MX1,3,2481229,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,MX2,3,2481229,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,OAS1,3,2411547,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,OAS2,3,1577824,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,OASL,3,9826176,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IFIT1,3,3360121,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IFIT3,3,9391139,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,RSAD2,3,11752458,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,USP18,2,11788588,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,IFI6,3,3359997,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNA_IFNB_SIGNALLING,pan,ISG20,3,12594219,REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,IFNGR1,1,2971451,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,IFNGR2,1,8124717,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,JAK1,2,8232552,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,JAK2,2,7901766,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,STAT1,2,1281555,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,IRF1,2,9202213,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,SOCS1,2,9857039,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,PTPN11,2,10022928,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,CIITA,2,8016643,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,IRF8,2,2111015,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,CXCL9,3,7595201,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IFNG_SIGNALLING,pan,CXCL10,3,3925348,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IFNG_SIGNALLING,pan,CXCL11,3,9625760,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IFNG_SIGNALLING,pan,GBP1,3,10970849,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,GBP2,3,8706832,REACTOME_INTERFERON_GAMMA_SIGNALING
IMMPRINT_IFNG_SIGNALLING,pan,IDO1,3,8188349,HALLMARK_INTERFERON_GAMMA_RESPONSE
IMMPRINT_IL10_SIGNALLING,pan,IL10RA,1,19890111,REACTOME_INTERLEUKIN_10_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,IL10RB,1,19890111,REACTOME_INTERLEUKIN_10_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,JAK1,2,7543512,REACTOME_INTERLEUKIN_10_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,TYK2,2,7543512,REACTOME_INTERLEUKIN_10_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,STAT3,2,9463379,REACTOME_INTERLEUKIN_10_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,STAT1,2,7543512,HALLMARK_IL6_JAK_STAT3_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,SOCS3,2,10515892,HALLMARK_IL6_JAK_STAT3_SIGNALING
IMMPRINT_IL10_SIGNALLING,pan,BCL3,2,12907458,
IMMPRINT_IL10_SIGNALLING,pan,HMOX1,3,11875494,HALLMARK_IL6_JAK_STAT3_SIGNALING
